Ingredient,Effect1,Effect2,Effect3,Effect4
Daedra Heart,Restore Health,Damage Stamina Regen,Damage Magicka,Fear
Frost Mirriam,Resist Frost,Fortify Sneak,Ravage Magicka,Damage Stamina Regen
Nightshade,Damage Health,Damage Magicka Regen,Lingering Damage Stamina,Fortify Destruction
Void Salts,Weakness to Shock,Resist Magic,Damage Health,Fortify Magicka
Dragon's Tongue,Resist Fire,Fortify Barter,Fortify Illusion,Fortify Two-Handed
Chaurus Hunter Antennae,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting
Dwarven Oil,Weakness to Magic,Fortify Illusion,Regenerate Magicka,Restore Magicka
Large Antlers,Restore Stamina,Fortify Stamina,Slow,Damage Stamina Regen
Swamp Fungal Pod,Resist Shock,Lingering Damage Magicka,Paralysis,Restore Health
Butterfly Wing,Restore Health,Fortify Barter,Lingering Damage Stamina,Damage Magicka
Wheat,Restore Health,Fortify Health,Damage Stamina Regen,Lingering Damage Magicka
Small Pearl,Restore Stamina,Fortify One-Handed,Fortify Restoration,Resist Frost
Felsaad Tern Feathers,Restore Health,Fortify Light Armor,Cure Disease,Resist Magic
Hawk's Egg,Resist Magic,Damage Magicka Regen,Waterbreathing,Lingering Damage Stamina
Nirnroot,Damage Health,Damage Stamina,Invisibility,Resist Magic
Orange Dartwing,Restore Stamina,Ravage Magicka,Fortify Pickpocket,Lingering Damage Health
Slaughterfish Scales,Resist Frost,Lingering Damage Health,Fortify Heavy Armor,Fortify Block
Creep Cluster,Restore Magicka,Damage Stamina Regen,Fortify Carry Weight,Weakness to Magic
Small Antlers,Weakness to Poison,Fortify Restoration,Lingering Damage Stamina,Damage Health
Salt Pile,Weakness to Magic,Fortify Restoration,Slow,Regenerate Magicka
Garlic,Resist Poison,Fortify Stamina,Regenerate Magicka,Regenerate Health
Human Flesh,Damage Health,Paralysis,Restore Magicka,Fortify Sneak
Luna Moth Wing,Damage Magicka,Fortify Light Armor,Regenerate Health,Invisibility
Mudcrab Chitin,Restore Stamina,Cure Disease,Resist Poison,Resist Fire
Emperor Parasol Moss,Damage Health,Fortify Magicka,Regenerate Health,Fortify Two-Handed
Hagraven Claw,Resist Magic,Lingering Damage Magicka,Fortify Enchanting,Fortify Barter
Hanging Moss,Damage Magicka,Fortify Health,Damage Magicka Regen,Fortify One-Handed
Giant's Toe,Damage Stamina,Fortify Health,Fortify Carry Weight,Damage Stamina Regen
